aX,aY,aZ,gX,gY,gZ
0.196,0.024,0.981,-5.493,-5.371,-4.639
0.203,0.004,1.011,-6.836,-6.348,-4.578
0.205,-0.019,1.051,-5.737,-5.066,-0.488
0.187,0.042,1.067,-1.709,-2.197,2.747
0.178,0.103,1.029,0.305,0.488,3.845
0.176,0.130,0.983,-2.869,1.160,-2.869
0.182,0.119,0.939,-3.845,-0.916,-7.507
-0.089,-1.231,0.933,8.789,-24.780,179.810
-0.027,-0.631,0.959,24.597,-7.324,203.674
0.107,0.205,0.900,59.692,47.302,190.674
0.558,1.824,0.151,71.655,77.576,143.677
0.869,2.418,-0.581,75.012,97.595,78.125
1.134,2.734,-1.066,52.795,45.410,-100.586
1.212,2.508,-1.052,23.132,-8.911,-192.078
0.891,0.664,-0.245,-11.597,-59.387,-249.695
0.570,-0.312,0.119,-39.124,-101.196,-263.611
0.193,-0.952,0.634,-45.776,-162.476,-207.153
-0.444,-1.682,2.054,-37.354,-163.452,-171.020
-0.579,-2.074,2.311,-32.898,-134.827,-136.841
-0.586,-2.295,2.150,-23.499,-40.405,-56.396
-0.489,-2.244,1.777,-9.521,-4.211,-16.174
-0.151,-1.553,1.248,4.761,17.517,16.479
0.026,-1.122,1.136,13.916,30.212,37.231
0.185,-0.787,0.997,24.109,46.936,42.053
0.383,-0.496,0.636,26.245,49.316,34.790
0.422,-0.442,0.574,25.940,45.532,27.161
0.435,-0.381,0.599,22.888,31.006,14.160
0.426,-0.342,0.640,18.555,24.353,5.554
0.366,-0.362,0.737,13.550,18.921,-3.357
0.332,-0.394,0.802,9.460,14.709,-10.864
0.301,-0.441,0.865,4.211,10.742,-20.935
0.256,-0.583,0.962,3.479,10.681,-23.560
0.236,-0.623,1.046,3.845,11.963,-24.170
0.217,-0.615,1.131,3.052,23.621,-23.865
0.204,-0.585,1.192,4.395,32.959,-25.330
0.199,-0.467,1.247,9.094,42.175,-27.771
0.201,-0.408,1.264,15.991,49.927,-31.677
