Motion detected, recording started...
aX, aY, aZ, gX, gY, gZ
Recording complete. Printing data...
aX,aY,aZ,gX,gY,gZ
-0.220,0.683,-0.191,65.674,-182.861,-25.574
-0.288,0.519,-0.041,44.556,-207.520,-18.555
-0.341,0.486,0.094,31.799,-229.004,-7.507
-0.391,0.478,0.175,64.087,-229.980,11.780
-0.483,0.511,0.118,85.449,-220.703,20.020
-0.488,0.573,0.103,65.796,-227.295,30.762
-0.515,0.577,0.195,-85.693,-306.519,52.124
-0.579,0.484,0.504,-156.616,-349.792,79.285
-0.638,0.521,1.492,-178.650,-356.689,125.977
-0.575,0.728,1.794,-142.700,-311.768,172.607
-0.462,0.900,1.835,24.841,-121.399,194.763
-0.353,0.924,1.194,105.225,-27.649,177.246
-0.383,0.844,0.780,138.123,30.762,159.546
-0.462,0.844,0.518,56.763,24.658,164.612
-0.524,0.964,0.433,7.080,-4.456,172.974
-0.481,1.230,0.584,-25.696,-28.564,165.833
-0.463,1.181,0.722,-44.861,-39.185,140.808
-0.467,0.967,0.799,-18.616,-5.554,82.703
-0.520,0.491,0.644,7.874,24.963,81.482
-0.587,0.489,0.485,22.095,49.072,105.591
-0.635,0.630,0.350,-15.137,56.396,169.800
-0.677,0.850,0.298,-55.359,42.908,185.913
-0.763,1.270,0.368,-81.848,33.081,184.143
-0.755,1.281,0.380,-90.698,32.043,162.720
-0.751,1.070,0.363,-68.787,44.128,95.703
-0.646,0.504,0.322,-72.205,46.204,82.275
-0.688,0.456,0.437,-111.816,40.100,93.201
-0.795,0.626,0.616,-191.711,51.453,148.315
-0.891,0.924,0.767,-195.496,84.778,160.156
-1.072,1.454,0.756,-171.509,134.827,149.658
-1.137,1.547,0.468,-119.690,196.045,119.202
-1.133,1.485,0.013,-27.161,277.161,31.738
-0.932,1.094,-0.696,-39.001,254.639,-5.005
-0.785,0.891,-0.646,-92.285,190.369,-30.457
-0.667,0.732,-0.313,-226.868,48.584,-51.331
-0.607,0.642,0.159,-261.414,27.222,-54.932
-0.631,0.580,0.856,-257.751,50.232,-60.181
-0.689,0.503,0.942,-227.234,103.271,-67.444
-0.778,0.388,0.894,-165.039,221.863,-71.838
-1.000,0.261,0.650,-145.386,268.799,-59.448
-1.099,0.315,0.486,-124.268,310.425,-38.940
-1.194,0.414,0.263,-65.735,387.268,-2.319
-1.289,0.521,-0.050,-26.855,416.077,9.888
-1.248,0.708,-0.857,-0.671,425.964,18.311
-1.102,0.754,-1.189,-5.310,403.503,19.653
-0.946,0.729,-1.359,-99.854,247.620,2.625
-0.691,0.600,-1.093,-173.340,138.428,-2.991
-0.633,0.561,-0.700,-239.014,35.828,-3.906
-0.629,0.504,-0.266,-276.855,-79.773,0.122
-0.641,0.523,0.119,-275.635,-89.111,9.644
-0.691,0.716,0.743,-258.118,-69.885,15.991
-0.708,0.808,0.892,-225.159,-24.414,14.221
-0.729,0.850,0.886,-134.766,103.638,-10.925
-0.801,0.800,0.504,-94.299,160.156,-23.865
-0.818,0.759,0.239,-65.002,202.087,-31.799
-0.805,0.715,-0.013,-40.649,239.746,-39.246
-0.779,0.658,-0.226,-46.753,233.032,-42.542
-0.739,0.621,-0.493,-72.449,210.022,-42.908
-0.724,0.753,-0.516,-120.850,173.401,-41.321
-0.712,0.805,-0.438,-158.508,96.130,-64.636
-0.655,0.714,-0.308,-147.888,73.486,-75.684
-0.633,0.660,-0.277,-129.333,59.692,-78.918
-0.615,0.614,-0.249,-92.041,44.434,-74.341
-0.599,0.590,-0.231,-89.050,36.377,-71.838
-0.608,0.544,-0.191,-90.454,26.978,-71.655
-0.626,0.505,-0.183,-88.928,18.494,-72.510
-0.632,0.462,-0.188,-75.928,7.324,-68.542
-0.641,0.380,-0.166,-57.434,4.822,-64.087
-0.689,0.313,-0.123,-27.954,5.920,-60.852
-0.733,0.230,-0.131,18.311,25.330,-50.232
-0.749,0.154,-0.223,38.025,40.039,-34.119
-0.775,-0.003,-0.398,56.030,50.781,-9.155
-0.793,-0.119,-0.422,57.434,57.983,25.391
-0.865,-0.156,-0.499,63.538,84.045,149.597
-1.141,0.096,-0.788,91.858,87.830,217.590
-1.232,0.263,-0.917,114.929,70.923,267.761
-1.297,0.424,-0.989,107.788,-26.062,320.007
-1.371,0.583,-0.979,83.130,-90.393,329.346
-1.505,0.907,-0.759,57.434,-149.536,330.261
-1.512,1.067,-0.588,45.044,-195.496,321.350
-1.499,1.191,-0.401,76.172,-233.276,258.972
-1.403,1.155,-0.133,105.225,-224.609,205.933
-1.358,0.971,-0.130,138.794,-202.209,149.475
-1.338,0.745,-0.219,210.144,-146.240,68.420
-1.328,0.537,-0.365,245.789,-127.380,51.758
-1.347,0.309,-0.676,272.217,-123.413,49.133
-1.387,0.296,-0.761,279.358,-140.442,55.969
-1.433,0.314,-0.757,231.567,-225.830,74.158
-1.478,0.369,-0.574,197.937,-270.508,80.566
-1.520,0.411,-0.467,176.941,-304.749,86.609
-1.576,0.474,-0.372,178.833,-341.186,92.468
-1.612,0.556,-0.285,183.105,-349.548,85.999
-1.573,0.686,-0.104,174.133,-356.262,72.632
-1.557,0.717,-0.006,154.053,-361.999,56.824
-1.571,0.755,0.083,133.118,-359.131,32.776
-1.499,0.936,0.308,127.869,-351.135,20.630
-1.433,1.016,0.440,123.291,-336.426,-1.526
-1.363,1.011,0.554,136.292,-273.437,-84.045
-1.270,0.890,0.638,138.367,-230.957,-127.808
-1.017,0.519,0.712,119.934,-190.491,-153.503
-0.888,0.426,0.730,89.111,-153.931,-152.527
-0.777,0.456,0.716,66.284,-76.904,-96.008
-0.636,0.733,0.540,83.252,-35.339,-71.472
-0.582,0.823,0.393,104.553,1.831,-64.636
-0.541,0.829,0.252,117.310,39.429,-89.294
-0.527,0.769,0.165,95.825,37.720,-100.769
-0.474,0.655,0.265,56.396,30.273,-101.990
-0.449,0.702,0.414,13.916,26.001,-92.041
-0.451,0.818,0.600,-49.194,42.419,-65.063
-0.564,1.055,0.948,-61.523,70.190,-66.040
-0.641,1.056,1.020,-55.603,114.868,-83.435
-0.726,0.927,0.993,-17.639,238.403,-152.283
-0.807,0.674,0.873,4.150,302.917,-183.105
-0.934,0.063,0.447,16.357,358.887,-195.190
-0.979,-0.143,0.167,22.583,401.733,-183.655
-0.980,-0.261,-0.128,40.833,433.716,-106.934
-0.854,-0.275,-0.600,25.940,417.358,-53.345
-0.808,-0.183,-0.742,-9.033,384.582,3.723
-0.802,-0.028,-0.833,-86.121,300.903,109.619
-0.810,0.187,-0.883,-110.596,258.728,147.095
-0.788,0.677,-0.872,-126.160,217.224,164.856
-0.744,0.856,-0.812,-139.709,176.392,159.973
-0.712,0.953,-0.714,-167.297,104.065,101.135
