aX,aY,aZ,gX,gY,gZ
-0.248,0.966,-0.318,-10.315,50.659,11.597
-0.263,0.987,-0.347,-10.498,51.819,11.475
-0.275,0.995,-0.375,-7.141,51.331,8.667
-0.281,1.006,-0.380,-7.080,49.866,6.836
-0.289,1.009,-0.381,-8.423,48.645,3.967
-0.293,0.994,-0.388,-9.888,46.997,0.671
-0.299,0.982,-0.394,-11.414,41.443,-4.333
-0.304,0.982,-0.371,-11.597,39.551,-6.287
-0.306,0.982,-0.381,-12.085,39.246,-8.362
-0.312,0.985,-0.412,-14.526,35.034,-13.184
-0.319,0.993,-0.419,-15.747,31.799,-16.052
-0.330,0.983,-0.429,-15.625,31.555,-18.494
-0.329,0.971,-0.444,-14.771,32.227,-19.775
-0.321,0.972,-0.430,-13.977,31.555,-20.508
-0.307,0.991,-0.414,-12.207,32.898,-22.400
-0.310,0.983,-0.439,-9.216,34.180,-25.696
-0.316,0.968,-0.462,-4.883,29.968,-31.982
-0.317,0.957,-0.463,-4.761,26.550,-34.058
-0.318,0.936,-0.454,-5.432,24.231,-35.461
-0.320,0.923,-0.452,-6.714,22.522,-36.133
-0.317,0.930,-0.447,-11.414,21.362,-34.790
-0.312,0.982,-0.474,-13.733,22.217,-34.851
-0.309,0.982,-0.497,-14.343,22.217,-36.743
-0.300,0.965,-0.501,-13.733,18.066,-41.443
-0.290,0.942,-0.490,-15.198,16.235,-42.664
-0.267,0.901,-0.471,-17.578,15.381,-42.786
-0.258,0.890,-0.469,-19.653,14.893,-42.175
-0.251,0.888,-0.473,-21.179,13.000,-40.527
-0.240,0.911,-0.473,-20.142,12.268,-40.466
-0.235,0.900,-0.483,-17.639,12.207,-41.321
-0.227,0.882,-0.492,-15.381,10.620,-41.748
-0.219,0.877,-0.495,-16.602,9.338,-41.199
-0.202,0.867,-0.501,-17.944,8.179,-40.771
-0.196,0.865,-0.498,-19.287,6.897,-39.978
-0.192,0.870,-0.485,-19.775,4.639,-38.208
-0.185,0.881,-0.482,-18.555,4.822,-38.208
-0.186,0.875,-0.502,-17.517,4.822,-38.635
-0.185,0.868,-0.516,-17.029,1.831,-38.513
-0.179,0.870,-0.516,-16.479,0.122,-37.659
-0.166,0.884,-0.490,-14.893,-0.916,-37.292
-0.156,0.902,-0.485,-11.780,-1.404,-37.354
-0.145,0.909,-0.479,-1.099,-1.465,-40.771
-0.137,0.889,-0.498,-1.221,-0.793,-40.405
-0.137,0.902,-0.538,-3.845,-0.671,-39.001
-0.134,0.895,-0.558,-9.338,-7.507,-39.246
-0.124,0.890,-0.553,-12.878,-12.085,-39.185
-0.103,0.905,-0.528,-16.541,-15.442,-39.124
-0.091,0.906,-0.516,-18.860,-17.517,-39.795
-0.081,0.891,-0.519,-16.663,-20.996,-43.579
-0.050,0.818,-0.528,-13.428,-24.719,-45.105
-0.030,0.793,-0.513,-11.353,-29.175,-44.983
-0.012,0.788,-0.495,-11.902,-32.654,-41.382
0.001,0.789,-0.489,-12.146,-31.128,-39.429
0.007,0.791,-0.520,-11.719,-29.236,-37.476
0.010,0.796,-0.529,-11.780,-28.503,-35.522
0.014,0.803,-0.530,-13.062,-29.602,-33.203
0.027,0.785,-0.527,-13.245,-30.273,-32.776
0.031,0.792,-0.523,-12.756,-30.762,-31.433
0.035,0.812,-0.526,-10.559,-31.677,-28.931
0.036,0.812,-0.531,-9.155,-33.142,-29.175
0.050,0.782,-0.527,-7.935,-35.095,-28.931
0.060,0.776,-0.516,-7.874,-36.865,-27.588
0.067,0.785,-0.505,-9.949,-37.781,-23.010
0.076,0.809,-0.516,-10.315,-37.170,-21.667
0.077,0.809,-0.542,-9.705,-36.743,-21.240
0.082,0.821,-0.543,-8.789,-39.856,-20.081
0.090,0.838,-0.520,-7.935,-41.077,-20.325
0.106,0.839,-0.489,-6.714,-41.443,-21.057
0.110,0.826,-0.487,-5.127,-41.565,-21.729
0.117,0.812,-0.495,-2.197,-42.542,-22.461
0.142,0.792,-0.497,-3.113,-44.067,-22.339
0.155,0.777,-0.494,-4.944,-45.715,-21.912
0.169,0.760,-0.477,-9.399,-47.546,-18.799
0.180,0.755,-0.452,-10.071,-45.715,-16.602
0.193,0.745,-0.474,-8.484,-42.847,-14.954
0.199,0.742,-0.490,-5.981,-41.321,-13.367
0.208,0.739,-0.492,-1.160,-41.626,-10.986
