aX,aY,aZ,gX,gY,gZ
0.076,-0.860,-0.052,12.085,13.611,-50.354
0.066,-0.876,-0.018,14.221,10.803,-53.162
0.052,-0.874,0.019,16.296,10.254,-58.472
0.028,-0.887,0.042,14.099,11.108,-60.974
0.016,-0.933,0.036,10.620,10.925,-63.354
0.011,-0.995,0.005,7.019,9.583,-65.857
0.005,-1.046,-0.035,8.789,7.568,-64.636
-0.018,-1.002,-0.016,11.963,5.615,-62.317
-0.031,-0.927,0.001,13.123,5.066,-60.547
-0.048,-0.879,0.003,5.554,4.089,-64.453
-0.076,-0.965,-0.068,1.648,2.869,-69.580
-0.079,-1.051,-0.130,0.854,0.610,-73.608
-0.083,-1.099,-0.152,7.507,-7.629,-72.144
-0.092,-1.090,-0.140,8.850,-10.986,-68.970
-0.143,-1.012,-0.085,6.592,-13.489,-67.200
-0.170,-1.035,-0.079,2.747,-14.954,-67.932
-0.183,-1.101,-0.095,-1.709,-16.174,-69.885
-0.188,-1.217,-0.139,-2.319,-17.273,-67.505
-0.191,-1.212,-0.164,-3.174,-18.677,-62.927
-0.196,-1.173,-0.182,-6.348,-24.048,-52.979
-0.205,-1.123,-0.198,-7.507,-28.625,-49.500
-0.249,-1.051,-0.161,-7.141,-33.997,-48.218
-0.259,-1.058,-0.142,-4.517,-38.086,-49.622
-0.253,-1.083,-0.145,3.052,-42.603,-53.772
-0.238,-1.068,-0.134,4.761,-44.739,-52.856
-0.244,-1.044,-0.111,3.113,-46.936,-51.270
-0.258,-1.052,-0.111,-6.165,-50.842,-50.415
-0.280,-1.085,-0.133,-8.728,-54.138,-49.377
-0.313,-1.134,-0.109,-7.935,-57.617,-47.546
-0.317,-1.132,-0.086,-6.348,-59.875,-45.349
-0.324,-1.117,-0.057,-11.719,-63.293,-40.344
-0.359,-1.094,-0.033,-17.944,-63.843,-38.208
-0.374,-1.098,-0.058,-23.499,-64.209,-36.316
-0.387,-1.115,-0.089,-25.391,-67.810,-31.982
-0.400,-1.139,-0.096,-22.034,-71.045,-29.053
-0.410,-1.179,-0.042,-18.127,-73.975,-25.574
-0.417,-1.191,-0.014,-15.686,-76.233,-21.667
-0.427,-1.203,0.015,-13.184,-78.247,-13.611
-0.437,-1.226,0.050,-12.085,-77.332,-9.583
-0.440,-1.235,0.072,-11.841,-76.172,-5.432
-0.436,-1.225,0.099,-15.564,-73.181,4.089
-0.431,-1.207,0.108,-20.142,-71.167,8.545
-0.432,-1.173,0.087,-24.475,-69.397,12.878
-0.423,-1.158,0.060,-27.100,-67.871,16.663
-0.408,-1.154,0.032,-26.306,-66.772,23.071
-0.388,-1.125,0.018,-23.621,-67.322,26.428
-0.387,-1.109,0.036,-21.362,-68.115,28.992
-0.400,-1.092,0.068,-19.165,-67.749,32.593
-0.417,-1.065,0.116,-17.273,-65.857,33.691
-0.408,-0.989,0.201,-16.663,-62.439,33.813
-0.385,-0.966,0.180,-19.470,-57.373,32.837
-0.359,-0.976,0.145,-31.738,-48.340,30.029
-0.329,-1.044,0.151,-39.246,-45.715,30.090
-0.337,-1.065,0.197,-46.936,-43.396,32.043
-0.350,-1.054,0.228,-61.401,-36.194,39.063
-0.383,-1.011,0.245,-66.772,-31.616,40.710
-0.381,-0.991,0.231,-68.115,-26.794,40.649
-0.356,-1.006,0.216,-65.002,-23.437,39.368
-0.330,-1.051,0.226,-55.786,-24.109,40.344
-0.315,-1.095,0.305,-56.335,-23.682,43.884
-0.322,-1.078,0.314,-59.998,-20.081,48.340
-0.334,-1.046,0.297,-63.110,-9.827,54.871
-0.309,-0.993,0.242,-57.922,-6.165,55.176
-0.284,-0.987,0.241,-49.500,-4.883,54.016
-0.262,-0.989,0.255,-34.546,-6.042,51.636
-0.251,-1.000,0.282,-31.372,-6.287,51.575
-0.241,-1.032,0.324,-30.579,-5.066,52.368
-0.229,-1.072,0.324,-31.006,-3.418,53.650
-0.221,-1.091,0.354,-28.748,-0.732,59.814
-0.188,-1.064,0.380,-28.625,3.479,62.195
-0.172,-1.060,0.359,-30.090,7.996,63.660
-0.160,-1.041,0.346,-30.701,13.794,65.674
-0.147,-1.016,0.337,-30.090,16.235,65.552
-0.124,-0.959,0.317,-29.541,18.066,65.369
-0.111,-0.948,0.288,-29.541,18.982,65.063
-0.102,-0.949,0.276,-28.015,17.151,64.941
-0.074,-0.979,0.252,-25.879,17.212,65.002
-0.055,-0.990,0.257,-23.071,17.395,65.247
-0.045,-0.984,0.293,-19.470,19.043,65.552
-0.037,-0.980,0.325,-18.677,21.240,65.125
-0.017,-1.029,0.367,-17.395,22.644,65.857
-0.011,-1.033,0.394,-16.968,23.621,68.359
-0.000,-1.031,0.398,-21.851,29.053,72.632
0.012,-0.992,0.418,-23.621,31.128,74.219
